set_number,lat1,lon1,lat2,lon2,distance,LCT,gamma_detection_method,alpha_detection_method,beta_detection_method,set_read_index,weight_total_kg,pabs_trawl,p_abs_eDNA,biomass_index
1,50.68833333333333,126.93694444444445,50.72222222222222,126.86888888888889,6.0924641638069685,Clupea pallasii,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,29.2772429491729,0.028,1,1,0.004595841558878169
1,50.68833333333333,126.93694444444445,50.72222222222222,126.86888888888889,6.0924641638069685,Oncorhynchus gorbuscha,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,2.4270173472183,0.152,1,1,0.024948854176767205
10,48.57555555555555,124.69972222222222,48.70027777777778,124.84027777777777,17.279979247991285,Merluccius productus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,2.27776392309302,86.866,1,1,5.026973629618088
10,48.57555555555555,124.69972222222222,48.70027777777778,124.84027777777777,17.279979247991285,Entosphenus tridentatus,only trawl,only trawl,only trawl,0,0.058,1,0,0.0033564855123736463
10,48.57555555555555,124.69972222222222,48.70027777777778,124.84027777777777,17.279979247991285,Gadus/chalcogrammus,both eDNA/trawl,only trawl,both eDNA/trawl,0,36.466,1,0,2.1103034602451274
10,48.57555555555555,124.69972222222222,48.70027777777778,124.84027777777777,17.279979247991285,Thaleichthys pacificus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,9.65222141296431,0.058,1,1,0.0033564855123736463
10,48.57555555555555,124.69972222222222,48.70027777777778,124.84027777777777,17.279979247991285,Clupea pallasii,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,25.7594438854843,0.682,1,1,0.0394676399903246
10,48.57555555555555,124.69972222222222,48.70027777777778,124.84027777777777,17.279979247991285,Squalus suckleyi,both eDNA/trawl,only trawl,both eDNA/trawl,0,9.54,1,0,0.5520839963455962
10,48.57555555555555,124.69972222222222,48.70027777777778,124.84027777777777,17.279979247991285,Oncorhynchus tshawytscha,both eDNA/trawl,only trawl,both eDNA/trawl,0,16.116,1,0,0.9326400089209255
11,48.59916666666667,124.75472222222223,48.69083333333334,124.59416666666667,15.579125157090827,Diaphus theta,only trawl,only trawl,only trawl,0,0.028,1,0,0.0017972767865759023
11,48.59916666666667,124.75472222222223,48.69083333333334,124.59416666666667,15.579125157090827,Gadus/chalcogrammus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1.47910245474711,1.472,1,1,0.09448540820856172
