LCT,sum_biomass,gamma_detection_method
Corphaenidoes sp,3.08E-04,only trawl
Allosmerus elongatus,0.001151731,only trawl
Spirinchus starksi,0.002312603,only trawl
Zoarcidae sp,0.003190081,only trawl
Entosphenus tridentatus,0.003356486,only trawl
Engraulis mordax,0.006930149,only trawl
Parophrys vetulus,0.010603053,only trawl
Diaphus theta,0.017506522,only trawl
Alosa sapidissima,0.018656149,both eDNA/trawl
Sebastes entomelas,0.050045105,both eDNA/trawl
Oncorhynchus keta,0.055036271,both eDNA/trawl
Oncorhynchus gorbuscha,0.138476589,both eDNA/trawl
Reinhardtius hippoglossoides,0.196156476,only trawl
Anoplopoma fimbria,0.244383914,both eDNA/trawl
Oncorhynchus kisutch,0.355031064,both eDNA/trawl
Thaleichthys pacificus,0.608270287,both eDNA/trawl
Sebastes flavidus,0.631042266,only trawl
Clupea pallasii,3.071953557,both eDNA/trawl
Oncorhynchus tshawytscha,6.620445766,both eDNA/trawl
Oncorhynchus nerka,7.731362092,both eDNA/trawl
Squalus suckleyi,13.60957351,both eDNA/trawl
Merluccius productus,20.32252319,both eDNA/trawl
Gadus/chalcogrammus,27.91995951,both eDNA/trawl
