original_sample_name,query,order,order_read_raw,order_read_index,order_pa,family,family_read_raw,family_read_index,family_pa,genus,genus_read_raw,genus_read_index,genus_pa,LCT,species_read_raw,species_read_index,species_pa
E001,ASV1,Clupeiformes,20065,0.25455767986501404,1,Clupeidae,20065,0.25455767986501404,1,Clupea,20065,0.25455767986501404,1,Clupea pallasii,20065,0.25455767986501404,1
E001,ASV11,Gadiformes,14764,0.19268069022912604,1,Gadidae,14764,0.19268069022912604,1,Gadus,14764,0.19268069022912604,1,Gadus chalcogrammus,14764,0.19268069022912604,1
E001,ASV12,Salmoniformes,43994,0.5581365844994481,1,Salmonidae,43994,0.5581365844994481,1,Oncorhynchus,43994,0.5581365844994481,1,Oncorhynchus keta,0,0,0
E001,ASV13,Salmoniformes,43994,0.5581365844994481,1,Salmonidae,43994,0.5581365844994481,1,Oncorhynchus,43994,0.5581365844994481,1,Oncorhynchus tshawytscha,0,0,0
E001,ASV136,Clupeiformes,20065,0.25455767986501404,1,Clupeidae,20065,0.25455767986501404,1,Clupea,20065,0.25455767986501404,1,Clupea pallasii,20065,0.25455767986501404,1
E001,ASV137,Gadiformes,14764,0.19268069022912604,1,Gadidae,14764,0.19268069022912604,1,Gadus,14764,0.19268069022912604,1,Gadus chalcogrammus,14764,0.19268069022912604,1
E001,ASV14,Osmeriformes,0,0,0,Osmeridae,0,0,0,Thaleichthys,0,0,0,Thaleichthys pacificus,0,0,0
E001,ASV15,Pleuronectiformes,0,0,0,Pleuronectidae,0,0,0,Glyptocephalus,0,0,0,Glyptocephalus zachirus,0,0,0
E001,ASV16,Scorpaeniformes,0,0,0,Sebastidae,0,0,0,Sebastes,0,0,0,Sebastes mystinus,0,0,0
E001,ASV17,Scorpaeniformes,0,0,0,Sebastidae,0,0,0,Sebastes,0,0,0,Sebastes crameri,0,0,0
E001,ASV18,Clupeiformes,20065,0.25455767986501404,1,Clupeidae,20065,0.25455767986501404,1,Clupea,20065,0.25455767986501404,1,Clupea pallasii,20065,0.25455767986501404,1
E001,ASV19,Clupeiformes,20065,0.25455767986501404,1,Clupeidae,20065,0.25455767986501404,1,Clupea,20065,0.25455767986501404,1,Clupea pallasii,20065,0.25455767986501404,1
