original_sample_name,query,class,class_read_raw,class_read_index,class_pa,order,order_read_raw,order_read_index,order_pa,family,family_read_raw,family_read_index,family_pa,genus,genus_read_raw,genus_read_index,genus_pa,LCT,species_read_raw,species_read_index,species_pa
E001,ASV1,Actinopterygii,12050,0.8364570317923088,1,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Clupea,256,0.01777037345550465,1,Clupea pallasii,256,0.01777037345550465,1
E001,ASV10,Actinopterygii,12050,0.8364570317923088,1,Salmoniformes,5072,0.35849108399421664,1,Salmonidae,5072,0.35849108399421664,1,Oncorhynchus,5072,0.35849108399421664,1,Oncorhynchus nerka,0,0,0
E001,ASV11,Actinopterygii,12050,0.8364570317923088,1,Pleuronectiformes,0,0,0,Pleuronectidae,0,0,0,Glyptocephalus,0,0,0,Glyptocephalus zachirus,0,0,0
E001,ASV12,Actinopterygii,12050,0.8364570317923088,1,Salmoniformes,5072,0.35849108399421664,1,Salmonidae,5072,0.35849108399421664,1,Oncorhynchus,5072,0.35849108399421664,1,Oncorhynchus kisutch,5072,1,1
E001,ASV122,Actinopterygii,12050,0.8364570317923088,1,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Clupea,256,0.01777037345550465,1,Clupea pallasii,256,0.01777037345550465,1
E001,ASV13,Actinopterygii,12050,0.8364570317923088,1,Salmoniformes,5072,0.35849108399421664,1,Salmonidae,5072,0.35849108399421664,1,Oncorhynchus,5072,0.35849108399421664,1,Oncorhynchus nerka,0,0,0
E001,ASV135,Actinopterygii,12050,0.8364570317923088,1,Perciformes,0,0,0,Stichaeidae,0,0,0,Phytichthys,0,0,0,Phytichthys chirus,0,0,0
E001,ASV137,Actinopterygii,12050,0.8364570317923088,1,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Alosa,0,0,0,Alosa sapidissima,0,0,0
E001,ASV14,Actinopterygii,12050,0.8364570317923088,1,Scorpaeniformes,0,0,0,Sebastidae,0,0,0,Sebastes,0,0,0,Sebastes alutus,0,0,0
E001,ASV155,Elasmobranchii,2356,0.293535258413081,1,Squaliformes,2356,0.293535258413081,1,Squalidae,2356,0.293535258413081,1,Squalus,2356,0.293535258413081,1,Squalus suckleyi,2356,0.293535258413081,1
E001,ASV163,Actinopterygii,12050,0.8364570317923088,1,Osmeriformes,6722,0.4666111342496182,1,Osmeridae,6722,0.4666111342496182,1,Thaleichthys,6722,0.4666111342496182,1,Thaleichthys pacificus,6722,0.4666111342496182,1
E001,ASV177,Elasmobranchii,2356,0.293535258413081,1,Squaliformes,2356,0.293535258413081,1,Squalidae,2356,0.293535258413081,1,Squalus,2356,0.293535258413081,1,Squalus suckleyi,2356,0.293535258413081,1
E001,ASV191,Actinopterygii,12050,0.8364570317923088,1,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Clupea,256,0.01777037345550465,1,Clupea pallasii,256,0.01777037345550465,1
E001,ASV2,Elasmobranchii,2356,0.293535258413081,1,Squaliformes,2356,0.293535258413081,1,Squalidae,2356,0.293535258413081,1,Squalus,2356,0.293535258413081,1,Squalus suckleyi,2356,0.293535258413081,1
E001,ASV20,Actinopterygii,12050,0.8364570317923088,1,Salmoniformes,5072,0.35849108399421664,1,Salmonidae,5072,0.35849108399421664,1,Oncorhynchus,5072,0.35849108399421664,1,Oncorhynchus gorbuscha,0,0,0
E001,ASV21,Actinopterygii,12050,0.8364570317923088,1,Gadiformes,0,0,0,Merlucciidae,0,0,0,Merluccius,0,0,0,Merluccius productus,0,0,0
E001,ASV24,Actinopterygii,12050,0.8364570317923088,1,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Clupea,256,0.01777037345550465,1,Clupea pallasii,256,0.01777037345550465,1
E001,ASV25,Actinopterygii,12050,0.8364570317923088,1,Gadiformes,0,0,0,Gadidae,0,0,0,Gadus,0,0,0,Gadus chalcogrammus,0,0,0
E001,ASV262,Actinopterygii,12050,0.8364570317923088,1,Pleuronectiformes,0,0,0,Pleuronectidae,0,0,0,Hippoglossoides,0,0,0,Hippoglossoides elassodon,0,0,0
E001,ASV27,Actinopterygii,12050,0.8364570317923088,1,Scorpaeniformes,0,0,0,Sebastidae,0,0,0,Sebastes,0,0,0,Sebastes mystinus,0,0,0
E001,ASV271,Actinopterygii,12050,0.8364570317923088,1,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Clupea,256,0.01777037345550465,1,Clupea pallasii,256,0.01777037345550465,1
E001,ASV286,Actinopterygii,12050,0.8364570317923088,1,Pleuronectiformes,0,0,0,Pleuronectidae,0,0,0,Glyptocephalus,0,0,0,Glyptocephalus zachirus,0,0,0
E001,ASV297,Actinopterygii,12050,0.8364570317923088,1,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Clupea,256,0.01777037345550465,1,Clupea pallasii,256,0.01777037345550465,1
E001,ASV30,Actinopterygii,12050,0.8364570317923088,1,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Clupea,256,0.01777037345550465,1,Clupea pallasii,256,0.01777037345550465,1
E001,ASV31,Actinopterygii,12050,0.8364570317923088,1,Scorpaeniformes,0,0,0,Sebastidae,0,0,0,Sebastes,0,0,0,Sebastes caurinus/maliger,0,0,0
E001,ASV33,Actinopterygii,12050,0.8364570317923088,1,Gadiformes,0,0,0,Gadidae,0,0,0,Gadus,0,0,0,Gadus chalcogrammus,0,0,0
E001,ASV34,Elasmobranchii,2356,0.293535258413081,1,Squaliformes,2356,0.293535258413081,1,Squalidae,2356,0.293535258413081,1,Squalus,2356,0.293535258413081,1,Squalus suckleyi,2356,0.293535258413081,1
E001,ASV39,Actinopterygii,12050,0.8364570317923088,1,Perciformes,0,0,0,Stichaeidae,0,0,0,Phytichthys,0,0,0,Phytichthys chirus,0,0,0
E001,ASV4,Actinopterygii,12050,0.8364570317923088,1,Gadiformes,0,0,0,Gadidae,0,0,0,Gadus,0,0,0,Gadus chalcogrammus,0,0,0
E001,ASV41,Actinopterygii,12050,0.8364570317923088,1,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Clupea,256,0.01777037345550465,1,Clupea pallasii,256,0.01777037345550465,1
E001,ASV45,Actinopterygii,12050,0.8364570317923088,1,Scorpaeniformes,0,0,0,Sebastidae,0,0,0,Sebastes,0,0,0,Sebastes crameri,0,0,0
E001,ASV46,Actinopterygii,12050,0.8364570317923088,1,Pleuronectiformes,0,0,0,Pleuronectidae,0,0,0,Glyptocephalus,0,0,0,Glyptocephalus zachirus,0,0,0
E001,ASV47,Elasmobranchii,2356,0.293535258413081,1,Squaliformes,2356,0.293535258413081,1,Squalidae,2356,0.293535258413081,1,Squalus,2356,0.293535258413081,1,Squalus suckleyi,2356,0.293535258413081,1
E001,ASV5,Actinopterygii,12050,0.8364570317923088,1,Osmeriformes,6722,0.4666111342496182,1,Osmeridae,6722,0.4666111342496182,1,Thaleichthys,6722,0.4666111342496182,1,Thaleichthys pacificus,6722,0.4666111342496182,1
E001,ASV50,Actinopterygii,12050,0.8364570317923088,1,Salmoniformes,5072,0.35849108399421664,1,Salmonidae,5072,0.35849108399421664,1,Oncorhynchus,5072,0.35849108399421664,1,Oncorhynchus gorbuscha,0,0,0
E001,ASV513,Actinopterygii,12050,0.8364570317923088,1,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Clupea,256,0.01777037345550465,1,Clupea pallasii,256,0.01777037345550465,1
E001,ASV52,Actinopterygii,12050,0.8364570317923088,1,Pleuronectiformes,0,0,0,Pleuronectidae,0,0,0,Microstomus,0,0,0,Microstomus pacificus,0,0,0
E001,ASV534,Elasmobranchii,2356,0.293535258413081,1,Squaliformes,2356,0.293535258413081,1,Squalidae,2356,0.293535258413081,1,Squalus,2356,0.293535258413081,1,Squalus suckleyi,2356,0.293535258413081,1
E001,ASV58,Actinopterygii,12050,0.8364570317923088,1,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Clupea,256,0.01777037345550465,1,Clupea pallasii,256,0.01777037345550465,1
